<<<<<<< HEAD
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator_6,Category_6,Total_6,total_upper_limit_6,total_lower_limit_6,Children without functional difficulties_6,cwf_upper_limit_6,cwf_lower_limit_6,Children with functional difficulties_6,wfd_upper_limit_6,wfd_lower_limit_6,Data source,Time period
Ghana,GHA,SSA,WCA,Less Developed,OOS Upper secondary,Urban,12.2,14.6,9.9,11.8,14.5,9.2,13.8,19.6,8,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,OOS Upper secondary,Rural,15.5,18.1,13,15.1,17.9,12.3,17.2,23.2,11.2,MICS6,2017-2018
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Upper secondary,Total,18.9,21.5,16.4,17.9,20.5,15.2,26.9,35.9,17.8,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Upper secondary,Male,16.7,20.2,13.2,16.1,19.8,12.5,,,,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Upper secondary,Female,21.1,24.8,17.4,19.7,23.5,15.8,30.6,43.2,18.1,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Upper secondary,Urban,8.1,11.1,5.2,6.7,9.6,3.9,,,,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,OOS Upper secondary,Rural,26.7,30.4,23.1,26,29.8,22.1,32.6,44.1,21,MICS6,2018-2019
Guyana,GUY,LAC,LAC,Less Developed,OOS Upper secondary,Total,17.1,20.2,14.1,16.9,20.2,13.6,18,26.2,9.9,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Upper secondary,Male,24.4,29.5,19.3,22.7,28.1,17.3,,,,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Upper secondary,Female,10.5,14,7.1,11.1,15,7.3,,,,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Upper secondary,Urban,14.8,20.3,9.2,15.4,21.5,9.3,,,,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,OOS Upper secondary,Rural,17.6,21.3,14,17.3,21.2,13.4,19.1,28.6,9.5,MICS6,2019-2020
Iraq,IRQ,MENA,MENA,Less Developed,OOS Upper secondary,Total,37.2,39,35.4,34.9,36.9,32.9,45.9,49.9,41.8,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Upper secondary,Male,32.5,34.9,30.1,29.2,31.9,26.6,43.2,48.5,37.9,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Upper secondary,Female,42.2,44.9,39.5,40.5,43.5,37.5,49.1,55.4,42.7,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Upper secondary,Urban,33.9,36.1,31.8,31.2,33.6,28.8,44.2,49,39.3,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,OOS Upper secondary,Rural,43.8,47.1,40.5,42.3,46,38.6,49.1,56.5,41.8,MICS6,2018
Kiribati,KIR,EAP,EAP,Least Developed,OOS Upper secondary,Total,17.9,22.7,13,14.5,19.4,9.6,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Upper secondary,Male,25.7,33.7,17.8,19.5,27.6,11.5,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Upper secondary,Female,10.5,16,5.1,10,15.8,4.2,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Upper secondary,Urban,18,25.6,10.3,14.2,21.7,6.7,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,OOS Upper secondary,Rural,17.7,24,11.4,14.8,21.4,8.3,,,,MICS6,2018-2019
Kosovo,,ECA,EECA,,OOS Upper secondary,Total,6.3,8.3,4.4,5.4,7.2,3.5,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Upper secondary,Male,6.8,9.4,4.2,6,8.6,3.4,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Upper secondary,Female,5.8,8.6,2.9,4.6,7.4,1.9,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Upper secondary,Urban,7.8,11,4.6,5.3,8.2,2.5,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,OOS Upper secondary,Rural,5.3,7.7,2.9,5.4,7.9,2.9,,,,MICS6,2019-20
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Upper secondary,Total,12.7,15.9,9.5,12.4,15.7,9.2,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Upper secondary,Male,11.8,16,7.6,12,16.3,7.6,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Upper secondary,Female,13.7,18.6,8.8,12.9,17.8,8,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Upper secondary,Urban,8.1,12.1,4.1,7.8,11.9,3.7,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,OOS Upper secondary,Rural,14.9,19.4,10.4,14.6,19.1,10.1,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,OOS Upper secondary,Total,27.3,31,23.5,27,31,23.1,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,OOS Upper secondary,Male,32.5,38,27.1,32.1,37.7,26.5,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,OOS Upper secondary,Female,21.2,26.2,16.2,20.8,26,15.5,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,OOS Upper secondary,Urban,15.8,21.4,10.1,15.6,21.6,9.7,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,OOS Upper secondary,Rural,33.5,38.2,28.7,33,37.9,28,,,,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,OOS Upper secondary,Total,54.5,57,52.1,54.1,56.7,51.4,57.7,64.5,51,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,OOS Upper secondary,Male,54.8,58.4,51.3,54.3,58.1,50.4,59.5,69.6,49.4,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,OOS Upper secondary,Female,54.2,57.6,50.8,53.8,57.5,50.1,56.2,65.4,47.1,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,OOS Upper secondary,Urban,37.6,41.8,33.4,36,40.5,31.6,50.4,63,37.7,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,OOS Upper secondary,Rural,60.5,63.4,57.6,60.6,63.8,57.4,59.8,67.8,51.8,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,OOS Upper secondary,Total,5.9,7.3,4.5,5.2,6.5,3.8,14.5,22.7,6.4,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,OOS Upper secondary,Male,9,11.3,6.7,8.1,10.4,5.9,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,OOS Upper secondary,Female,2.3,3.6,1,1.5,2.6,0.4,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,OOS Upper secondary,Urban,4.2,5.8,2.6,3.3,4.8,1.8,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,OOS Upper secondary,Rural,9.4,11.8,6.9,8.9,11.4,6.4,,,,MICS6,2018
Nepal,NPL,SA,SA,Least Developed,OOS Upper secondary,Total,13.1,14.4,11.8,12,13.4,10.7,21.8,26.6,17.1,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,OOS Upper secondary,Male,13.8,15.7,11.9,12.5,14.4,10.6,23.8,30.8,16.8,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,OOS Upper secondary,Female,12.6,14.4,10.8,11.6,13.4,9.8,20.1,26.5,13.7,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,OOS Upper secondary,Urban,12.4,14.1,10.6,11,12.7,9.2,23.8,30.4,17.2,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,OOS Upper secondary,Rural,14.7,16.7,12.6,14.1,16.2,12,18.6,25.2,12,MICS6,2019
North Macedonia,MKD,ECA,EECA,More Developed,OOS Upper secondary,Total,13.5,17.5,9.5,14.6,19,10.3,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,OOS Upper secondary,Male,11.2,16.3,6.1,12,17.7,6.3,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,OOS Upper secondary,Female,15.3,21.3,9.3,16.6,23,10.2,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,OOS Upper secondary,Urban,18,24.8,11.1,19.8,27.3,12.4,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,OOS Upper secondary,Rural,4.9,8.2,1.6,4.3,7.6,1,,,,MICS6,2018-2019
State of Palestine,PSE,MENA,MENA,Less Developed,OOS Upper secondary,Total,11.4,13.4,9.5,9.7,11.6,7.7,22.7,29.7,15.7,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,OOS Upper secondary,Male,15.3,18.2,12.3,13.4,16.4,10.4,24.2,33.4,15.1,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,OOS Upper secondary,Female,6.5,8.7,4.3,5.3,7.4,3.1,18.8,29.4,8.2,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,OOS Upper secondary,Urban,10.8,13.2,8.4,9,11.4,6.6,22.5,31.5,13.5,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,OOS Upper secondary,Rural,14,17.4,10.6,12.6,16,9.1,23.3,34.7,11.9,MICS6,2019-2020
Pakistan (Punjab),,SA,SA,Less Developed,OOS Upper secondary,Total,32.7,34,31.4,31.9,33.4,30.5,36.6,39.9,33.3,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,OOS Upper secondary,Male,31,32.8,29.2,30.1,32,28.1,35.6,40.1,31.1,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,OOS Upper secondary,Female,34.4,36.4,32.5,33.8,35.9,31.7,37.7,42.6,32.7,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,OOS Upper secondary,Urban,23.3,25.5,21.1,22.2,24.6,19.8,28.6,34.3,22.9,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,OOS Upper secondary,Rural,37.8,39.4,36.1,37.1,38.9,35.3,41.3,45.3,37.2,MICS6,2017-2018
Samoa,WSM,EAP,EAP,Less Developed,OOS Upper secondary,Total,11,13.5,8.4,10.3,13.1,7.5,13.6,19.9,7.3,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,OOS Upper secondary,Male,15.2,19.3,11.2,14.7,19,10.3,17.7,28.1,7.3,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,OOS Upper secondary,Female,6.3,9.2,3.4,5.4,8.4,2.3,9.7,17.2,2.3,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,OOS Upper secondary,Urban,12.9,17.6,8.2,12.7,18,7.4,,,,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,OOS Upper secondary,Rural,10.4,13.5,7.3,9.7,13,6.4,13.7,21.7,5.7,MICS6,2019-2020
Sao Tome and Principe,STP,SSA,WCA,Least Developed,OOS Upper secondary,Total,15.2,18.7,11.7,12.7,16.4,9.1,24.9,34.2,15.6,MICS7,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,OOS Upper secondary,Male,17.1,22.6,11.7,15.2,20.9,9.5,,,,MICS8,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,OOS Upper secondary,Female,13.5,18,9,10.4,15.1,5.8,24.3,35.8,12.7,MICS9,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,OOS Upper secondary,Urban,15.4,20.2,10.7,12.9,18,7.8,23.9,35.8,12.1,MICS10,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,OOS Upper secondary,Rural,14.9,20,9.7,12.4,17.7,7.2,,,,MICS11,2019
Sierra Leone,SLE,SSA,WCA,Least Developed,OOS Upper secondary,Total,24.2,26.6,21.8,24.6,27.2,21.9,22.6,28.3,16.9,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,OOS Upper secondary,Male,21.8,25.3,18.4,21.9,25.6,18.1,21.8,30.2,13.4,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,OOS Upper secondary,Female,26.2,29.5,23,26.8,30.5,23.2,23.3,31.1,15.5,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,OOS Upper secondary,Urban,13.3,16.1,10.5,13.5,16.6,10.4,12.5,19.2,5.8,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,OOS Upper secondary,Rural,38.3,42,34.6,38.9,43,34.9,35.3,44.1,26.6,MICS6,2017
Pakistan (Sindh),,SA,SA,Less Developed,OOS Upper secondary,Total,50.9,53.2,48.7,50.9,53.3,48.5,51,57.3,44.7,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,OOS Upper secondary,Male,39.7,42.8,36.6,39.9,43.2,36.6,38.1,46.6,29.5,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,OOS Upper secondary,Female,62.8,66,59.7,62.6,65.9,59.2,64.5,73.2,55.8,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,OOS Upper secondary,Urban,36.3,39.3,33.3,35.1,38.4,31.9,42.4,50.1,34.7,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,OOS Upper secondary,Rural,66,69.1,62.9,66,69.2,62.7,66.7,76.9,56.5,MICS6,2018-2019
Suriname,SUR,LAC,LAC,Less Developed,OOS Upper secondary,Total,16,19.7,12.4,16.4,20.3,12.5,,,,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,OOS Upper secondary,Male,21.1,26.6,15.6,21.6,27.4,15.7,,,,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,OOS Upper secondary,Female,10,14.4,5.6,10.3,15,5.5,,,,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,OOS Upper secondary,Urban,9.8,13.8,5.9,10.4,14.6,6.1,,,,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,OOS Upper secondary,Rural,29.4,36.2,22.6,30.6,38.1,23.2,,,,MICS6,2018
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,OOS Upper secondary,Total,2.3,6.3,-1.7,1.5,4.8,-1.9,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,OOS Upper secondary,Male,2.1,7.1,-2.9,,,,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,OOS Upper secondary,Female,3,10.2,-4.3,,,,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,OOS Upper secondary,Urban,1.7,5.6,-2.2,,,,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,OOS Upper secondary,Rural,11.3,32,-9.4,,,,,,,MICS6,2019-2020
Togo,TGO,SSA,WCA,Least Developed,OOS Upper secondary,Total,22.3,26.4,18.1,22.8,27.6,18,20.4,29,11.8,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,OOS Upper secondary,Male,20.7,26.4,15,21.6,28.1,15.1,,,,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,OOS Upper secondary,Female,24,30.2,17.9,24.3,31.4,17.2,,,,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,OOS Upper secondary,Urban,20.5,26.7,14.3,22.9,30.2,15.6,,,,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,OOS Upper secondary,Rural,23.7,29.3,18,22.7,29,16.3,,,,MICS6,2017
Tonga,TON,EAP,EAP,Less Developed,OOS Upper secondary,Total,12.7,17.9,7.6,10.8,16.1,5.6,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,OOS Upper secondary,Male,16.8,25,8.6,19,28.4,9.6,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,OOS Upper secondary,Female,8.7,15,2.4,2.5,6.2,-1.3,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,OOS Upper secondary,Urban,9,17.4,0.5,,,,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,OOS Upper secondary,Rural,13.9,20.2,7.5,11.2,17.6,4.8,,,,MICS6,2019
Tunisia,TUN,MENA,MENA,Less Developed,OOS Upper secondary,Total,19.1,21.7,16.6,17.2,20,14.4,25.1,31,19.3,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,OOS Upper secondary,Male,25.1,29.1,21.2,22.2,26.5,17.8,34.4,43.3,25.5,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,OOS Upper secondary,Female,13.2,16.4,10.1,12.3,15.7,8.8,16.1,23.4,8.9,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,OOS Upper secondary,Urban,11.9,14.4,9.3,11,13.8,8.1,15.2,21.5,9,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,OOS Upper secondary,Rural,32.9,38.2,27.7,30.6,36.7,24.6,38.2,48.6,27.7,MICS6,2018
Turkmenistan,TKM,ECA,EECA,Less Developed,OOS Upper secondary,Total,1.2,2.3,0,0.5,1.2,-0.3,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,OOS Upper secondary,Male,0.9,2.2,-0.5,0.9,2.2,-0.5,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,OOS Upper secondary,Female,1.4,3.3,-0.4,0,0,0,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,OOS Upper secondary,Urban,1.2,2.8,-0.4,0.8,2.1,-0.5,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,OOS Upper secondary,Rural,1.1,2.7,-0.4,0.2,0.9,-0.5,,,,MICS6,2019
Tuvalu,TUV,EAP,EAP,Least Developed,OOS Upper secondary,Total,8.9,20.8,-3,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,OOS Upper secondary,Male,30.6,62.6,-1.3,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,OOS Upper secondary,Female,0,0,0,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,OOS Upper secondary,Urban,3,12,-5.9,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,OOS Upper secondary,Rural,23.5,55,-7.9,,,,,,,MICS6,2019-2020
Zimbabwe,ZWE,SSA,ESA,Less Developed,OOS Upper secondary,Total,30.6,35.8,25.4,28.3,33.7,22.9,,,,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,OOS Upper secondary,Male,26.8,33.8,19.9,24.7,31.8,17.5,,,,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,OOS Upper secondary,Female,35.1,42.8,27.3,32.4,40.4,24.4,,,,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,OOS Upper secondary,Urban,13,19,6.9,12.1,18.2,5.9,,,,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,OOS Upper secondary,Rural,38.6,45.6,31.6,35.6,43,28.2,,,,MICS6,2019
=======
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator_6,Category_6,Total_6,total_upper_limit_6,total_lower_limit_6,Children without functional difficulties_6,cwf_upper_limit_6,cwf_lower_limit_6,Children with functional difficulties_6,wfd_upper_limit_6,wfd_lower_limit_6,Data source,Time period
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Total,24.3,25.1,23.6,23.6,24.4,22.8,34.6,38.2,31,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Male,29.2,30.4,28.1,28.6,29.7,27.4,37.9,42.5,33.2,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Female,18.9,19.9,17.8,18.2,19.3,17.2,29.9,35.4,24.4,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Urban,24.1,25.9,22.3,23.5,25.3,21.6,35,43.6,26.3,MICS6,2019
Bangladesh,BGD,SA,SA,Least Developed,OOS Upper secondary,Rural,24.4,25.3,23.5,23.7,24.6,22.8,34.5,38.4,30.6,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Total,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Male,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Female,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Urban,0,0,0,0,0,0,,,,MICS6,2019
Belarus,BLR,ECA,EECA,More Developed,OOS Upper secondary,Rural,0,0,0,0,0,0,,,,MICS6,2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Total,33,37.8,28.2,29.6,35,24.2,43.8,53.8,33.9,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Male,29.5,36.2,22.9,29.1,36.7,21.4,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Female,37.1,44,30.2,30.2,37.9,22.5,56.3,69.9,42.6,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Urban,21.2,27,15.5,17.9,24.1,11.8,,,,MICS6,2018-2019
Central African Republic,CAF,SSA,WCA,Least Developed,OOS Upper secondary,Rural,44.6,52,37.3,42,50.7,33.2,51.9,65.6,38.2,MICS6,2018-2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Total,53.4,56.5,50.2,50.5,54.3,46.8,61.3,66.9,55.6,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Male,43.6,48.2,39,41.7,47.2,36.3,49.4,57.9,40.8,MICS6,2019
Chad,TCD,SSA,WCA,Least Developed,OOS Upper secondary,Female,64.8,68.8,60.7,61.4,66.3,56.5,73.4,80.3,66.4,MICS6,2019
